data,property_id,url
<binary_data_48920_bytes>,30050,https://venda-imoveis.caixa.gov.br/fotos/F878770667482421.jpg
<binary_data_60377_bytes>,30051,https://venda-imoveis.caixa.gov.br/fotos/F855552469868921.jpg
<binary_data_50038_bytes>,30052,https://venda-imoveis.caixa.gov.br/fotos/F878771229738721.jpg
<binary_data_48288_bytes>,30053,https://venda-imoveis.caixa.gov.br/fotos/F878770881388021.jpg
<binary_data_54190_bytes>,30054,https://venda-imoveis.caixa.gov.br/fotos/F878771432756921.jpg
<binary_data_54860_bytes>,30055,https://venda-imoveis.caixa.gov.br/fotos/F878770609765721.jpg
<binary_data_51081_bytes>,30056,https://venda-imoveis.caixa.gov.br/fotos/F878771013236421.jpg
<binary_data_67194_bytes>,30057,https://venda-imoveis.caixa.gov.br/fotos/F878770887279821.jpg
<binary_data_30290_bytes>,30058,https://venda-imoveis.caixa.gov.br/fotos/F144440494096221.jpg
<binary_data_65091_bytes>,30059,https://venda-imoveis.caixa.gov.br/fotos/F144440730107321.jpg
<binary_data_75166_bytes>,30060,https://venda-imoveis.caixa.gov.br/fotos/F844441164167121.jpg
<binary_data_66192_bytes>,30061,https://venda-imoveis.caixa.gov.br/fotos/F844442387520621.jpg
<binary_data_68458_bytes>,30062,https://venda-imoveis.caixa.gov.br/fotos/F844441741482021.jpg
<binary_data_46240_bytes>,30063,https://venda-imoveis.caixa.gov.br/fotos/F844440494293921.jpg
<binary_data_40795_bytes>,30064,https://venda-imoveis.caixa.gov.br/fotos/F844440468584721.jpg
<binary_data_35136_bytes>,30065,https://venda-imoveis.caixa.gov.br/fotos/F855552430744221.jpg
<binary_data_70844_bytes>,30066,https://venda-imoveis.caixa.gov.br/fotos/F855551125145121.jpg
<binary_data_67631_bytes>,30067,https://venda-imoveis.caixa.gov.br/fotos/F812330896050421.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_49608_bytes>,30069,https://venda-imoveis.caixa.gov.br/fotos/F855551866136121.jpg
<binary_data_45395_bytes>,30070,https://venda-imoveis.caixa.gov.br/fotos/F144441382090721.jpg
<binary_data_41360_bytes>,30071,https://venda-imoveis.caixa.gov.br/fotos/F116134185775421.jpg
<binary_data_60962_bytes>,30072,https://venda-imoveis.caixa.gov.br/fotos/F844440910525321.jpg
<binary_data_37232_bytes>,30073,https://venda-imoveis.caixa.gov.br/fotos/F844440966444921.jpg
<binary_data_47755_bytes>,30074,https://venda-imoveis.caixa.gov.br/fotos/F844441659442621.jpg
<binary_data_19280_bytes>,30075,https://venda-imoveis.caixa.gov.br/fotos/F144440766830921.jpg
<binary_data_84840_bytes>,30076,https://venda-imoveis.caixa.gov.br/fotos/F178770037772221.jpg
<binary_data_62927_bytes>,30077,https://venda-imoveis.caixa.gov.br/fotos/F844440868064521.jpg
<binary_data_72007_bytes>,30078,https://venda-imoveis.caixa.gov.br/fotos/F144441829810921.jpg
<binary_data_74005_bytes>,30079,https://venda-imoveis.caixa.gov.br/fotos/F144441723685121.jpg
<binary_data_42018_bytes>,30080,https://venda-imoveis.caixa.gov.br/fotos/F844441941617021.jpg
<binary_data_49698_bytes>,30081,https://venda-imoveis.caixa.gov.br/fotos/F844442855647821.jpg
<binary_data_30955_bytes>,30082,https://venda-imoveis.caixa.gov.br/fotos/F855551509364821.jpg
<binary_data_57484_bytes>,30083,https://venda-imoveis.caixa.gov.br/fotos/F844441865825121.jpg
<binary_data_47391_bytes>,30084,https://venda-imoveis.caixa.gov.br/fotos/F829630000356121.jpg
<binary_data_64873_bytes>,30085,https://venda-imoveis.caixa.gov.br/fotos/F844442114973721.jpg
<binary_data_112665_bytes>,30086,https://venda-imoveis.caixa.gov.br/fotos/F844441821295421.jpg
